"","Stop_ID","Stop_Name"
"586",92,"29th St & Girard Av"
"587",93,"23rd St & Market St - FS"
"588",94,"23rd St & Washington Av"
"589",95,"Oregon Av & 21st St - FS"
"590",96,"Oregon Av & 20th St - FS"
"591",98,"Oregon Av & Broad St - FS"
"592",99,"Whitman Plaza - 1"
"593",101,"Pier 70 WalMart & Home Depot"
"594",103,"Oregon Av & Broad St"
"595",105,"Oregon Av & 24th St"
"596",106,"22nd St & Washington Av"
"597",107,"Arch St & 22nd St"
"598",108,"27th St & Girard Av"
"599",111,"Frankford Transportation Center - Rts 8 & R drop"
"600",113,"Fisher Av & Rising Sun Av - FS"
"601",114,"Tabor Rd & 5th St"
"602",117,"Tabor Rd & 5th St"
"603",118,"Fisher Av & Rising Sun Av"
"604",119,"C St & Roosevelt Blvd"
"605",121,"Wissahickon Av & Cathedral Rd - FS"
"606",122,"Ridge Av & Summit Av"
"607",123,"Ridge Av & Lyceum Av"
"608",124,"Roosevelt Blvd & C St"
"609",130,"Walnut St & Broad St - MBNS"
"610",131,"Walnut St & 23rd St"
"611",132,"Roosevelt Blvd & Mascher St"
"612",133,"Lyceum  Av & Ridge Av"
"613",136,"Cheltenham Av & Ogontz Av Loop"
"614",137,"Roosevelt Blvd & 2nd St"
"615",141,"9th St & Erie Av"
"616",143,"Broad St & Girard Av"
"617",145,"Spruce St & 15th St"
"618",148,"Broad St & Washington Av"
"619",150,"Broad St & Geary St"
"620",158,"Broad St & Geary St"
"621",160,"Roosevelt Blvd & 6th St"
"622",164,"Broad St & Girard Av"
"623",165,"Broad St & Allegheny Av"
"624",167,"9th St & Erie Av"
"625",174,"Roosevelt Blvd & 7th St - FS"
"626",175,"Packer Av & Galloway St"
"627",180,"57th St & Christian St"
"628",182,"56th St & Market St"
"629",185,"59th St & Columbia Av"
"630",187,"Drexel Rd & City Line Av"
"631",188,"Lankenau Medical Center"
"632",194,"59th St & Columbia Av - FS"
"633",197,"56th St & Market St - FS"
"634",198,"56th St & Christian St"
"635",199,"58th St & Woodland Av"
"636",201,"63rd St & Lindbergh Blvd"
"637",204,"Roosevelt Blvd & 9th St"
"638",207,"Lindley Av & 5th St"
"639",208,"Lindley Av & Broad St"
"640",209,"Chelten Av & Baynton St - FS"
"641",210,"Chelten Av & Wissahickon Av - MBNS"
"642",212,"Wissahickon Av & School House Ln"
"643",213,"Chelten Av & Baynton St"
"644",214,"Lindley Av & 16th St"
"645",215,"Lindley Av & Broad St"
"646",216,"Lindley Av & 5th St"
"647",218,"Orthodox St & Frankford Av"
"648",220,"Arrott Transportation Center"
"649",222,"66th Av & Broad St"
"650",223,"Chew Av & Chelten Av - FS"
"651",224,"Wayne Av & Chelten Av - FS"
"652",225,"River Rd & Midvale Av"
"653",226,"Ridge Av & Midvale Av"
"654",227,"Wayne Av & Chelten Av"
"655",228,"Chelten Av & Wister St"
"656",229,"66th Av & Old York Rd"
"657",232,"Wister St & Chelten Av"
"658",235,"Rodney St & Mt Airy Av"
"659",237,"Stenton Av & Mt Airy Av"
"660",241,"Evergreen Av & Germantown Av"
"661",242,"Germantown Av & Bethlehem Pk"
"662",243,"Bethlehem Pk & Montgomery Av"
"663",244,"Germantown Pk & Northwestern Av"
"664",246,"Plymouth Meeting Mall"
"665",248,"Germantown Pk & Northwestern Av - FS"
"666",250,"Germantown Av & Bethlehem Pk - FS"
"667",252,"Stenton Av & Mt Airy Av"
"668",254,"Stenton Av & Washington Ln"
"669",255,"Wister St & Chelten Av - FS"
"670",256,"Roosevelt Blvd & 5th St - FS"
"671",260,"Midvale Av & Henry Av"
"672",261,"29th St & Allegheny Av"
"673",267,"Midvale Av & Henry Av"
"674",268,"Hunting Park Av & Fox St - FS"
"675",275,"Allegheny Av & Hunting Park Av"
"676",293,"Malvern Av & 63rd St Loop"
"677",299,"Market St & 40th St"
"678",300,"Market St & 40th St"
"679",309,"Locust St & 20th St"
"680",310,"Locust St & Broad St"
"681",311,"Pine St & 3rd St"
